time,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15
3715485
3716092
3717550
3717619
3721209
3721269
3721338
3721398
3721458
3721527
3721587
3722443
3724269
3725023
3725434
3725494
3725554
3725718
3725778
3725838
3726141
3726201
3726261
3726321
3726390
3726450
3726517
3726831
3726997
3728020
3729043
3730004
3730108
3730561
3730857
3731015
3732009
3733274
3733366
3733426
3733548
3733617
3733772
3733832
3734053
3734223
3734684
3735769
3737478
3737538
3740819
3742528
3743222
3744271
3744449
3744534
3744594
3744654
3745177
3745428
3745488
3746232
3746451
3746973
3747419
3747668
3748109
3748578
3748888
3749338
3749539
3749599
3749829
3750599
3751853
3752835
3753009
3754804
3755433
3755548
3755643
3755703
3755764
3756388
3757415
3757778
3758174
3758334
3758397
3758766
3759102
3760025
3762189
3762249
3763468
3764629
3765479
3765788
3766008
3766675
3766735
3766795
3766855
3767003
3767063
3767123
3767183
3767243
3767303
3767363
3767614
3769364
3769855
3770346
3770406
3770466
3770526
3771017
3771467
3771527
3772018
3772342
3772468
3772959
3773450
3773941
3774391
3774451
3774841
3776176
3776236
3776502
3776602
3776662
3777997
3778860
3779207
3779934
3781269
3781862
3782408
3783128
3783768
3785702
3785861
3786671
3786731
3787891
3788778
3789108
3789561
3789974
3796868
3800888
3801152
3803765
3805242
3805898
3806565
3806681
3808281
3809382
3809442
3809981
3812561
3812621
3813244
3813304
3813956
3815291
3815724
3818013
3818073
3818147
3818207
3818267
3821474
3821725
3822106
3824184
3827101
3827161
3827614
3828596
3829578
3829741
3829875
3830232
3830560
3831895
3832797
3832857
3832917
3834467
3834527
3835327
3844331
3849015
3849465
3850037
3850654
3850714
3850774
3851262
3851322
3851382
3852104
3852447
3854186
3854246
3858680
3859669
3859729
3860166
3860226
3860913
3860973
3861033
3861093
3862199
3870790
3871955
3872015
3872075
3872135
3872212
3872281
3872350
3873061
3873206
3873275
3874131
3874405
3874465
3874987
3875047
3875843
3884135
3884864
3885937
3886366
3887530
3902196
3928549
3928618
3930318
3930387
3930994
3932017
3932624
3958977
3959037
3959097
3959588
3960035
3960098
3960158
3960608
3960712
3961203
3961618
3961678
3962616
3976097
3984903
3998677
3999700
4000405
4002280
4002369
4004949
4005931
4022069
4033885
4034908
4036608
4037631
4054751
4061292
4073692
4100045
4118907
4137769
4156631
4175493
4194355
4220708
4239570
4265923
4292276
4311138
4337491
4363844
4390197
4409059
4435412
4461765
4488118
4514471
4533333
4559686
4578548
4597410
4616272
4642625
4668978
4687840
4714193
4740546
4759408
4785761
4804623
4823485
4849838
